;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 04/12/2013 8:55:45 SA
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_Mmc.c,106 :: 		
0x030C	0x0E01      	MOVLW       1
0x030E	0x6F60      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 1
0x0310	0x6B61      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content, 1
0x0312	0x6B62      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+1, 1
0x0314	0x6B63      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+2, 1
0x0316	0x6B64      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+3, 1
0x0318	0x0EFF      	MOVLW       255
0x031A	0x6F65      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_crc, 1
0x031C	0xDF77      	RCALL       __Lib_Mmc_Mmc_Send_Command
0x031E	0xF45EC000  	MOVFF       R0, __Lib_Mmc_Mmc_UnIdle_response_L0
;__Lib_Mmc.c,107 :: 		
0x0322	0xDF67      	RCALL       __Lib_Mmc_Mmc_DeSelect
;__Lib_Mmc.c,108 :: 		
0x0324	0x0104      	MOVLB       4
0x0326	0x515E      	MOVF        __Lib_Mmc_Mmc_UnIdle_response_L0, 0, 1
0x0328	0x0A00      	XORLW       0
0x032A	0xE103      	BNZ         L___Lib_Mmc_Mmc_UnIdle9
;__Lib_Mmc.c,110 :: 		
0x032C	0x6A1C      	CLRF        __Lib_Mmc_cardType 
;__Lib_Mmc.c,111 :: 		
0x032E	0x6A00      	CLRF        R0 
0x0330	0xD082      	BRA         L_end_Mmc_UnIdle
;__Lib_Mmc.c,112 :: 		
L___Lib_Mmc_Mmc_UnIdle9:
;__Lib_Mmc.c,113 :: 		
0x0332	0xD07C      	BRA         L___Lib_Mmc_Mmc_UnIdle10
L___Lib_Mmc_Mmc_UnIdle8:
;__Lib_Mmc.c,115 :: 		
0x0334	0xDF1D      	RCALL       __Lib_Mmc_Mmc_Select
;__Lib_Mmc.c,118 :: 		
0x0336	0x0E37      	MOVLW       55
0x0338	0x6F60      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 1
0x033A	0x6B61      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content, 1
0x033C	0x6B62      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+1, 1
0x033E	0x6B63      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+2, 1
0x0340	0x6B64      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+3, 1
0x0342	0x0EFF      	MOVLW       255
0x0344	0x6F65      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_crc, 1
0x0346	0xDF62      	RCALL       __Lib_Mmc_Mmc_Send_Command
0x0348	0xF45EC000  	MOVFF       R0, __Lib_Mmc_Mmc_UnIdle_response_L0
;__Lib_Mmc.c,119 :: 		
0x034C	0xDF52      	RCALL       __Lib_Mmc_Mmc_DeSelect
;__Lib_Mmc.c,120 :: 		
0x034E	0x0104      	MOVLB       4
0x0350	0x515E      	MOVF        __Lib_Mmc_Mmc_UnIdle_response_L0, 0, 1
0x0352	0x0A01      	XORLW       1
0x0354	0xA4D8      	BTFSS       STATUS, 2 
0x0356	0xD069      	BRA         L___Lib_Mmc_Mmc_UnIdle11
;__Lib_Mmc.c,122 :: 		
0x0358	0xDF0B      	RCALL       __Lib_Mmc_Mmc_Select
;__Lib_Mmc.c,124 :: 		
0x035A	0x0E29      	MOVLW       41
0x035C	0x6F60      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 1
0x035E	0x0E00      	MOVLW       0
0x0360	0x6F61      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content, 1
0x0362	0x0E00      	MOVLW       0
0x0364	0x6F62      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content+1, 1
0x0366	0x0E00      	MOVLW       0
0x0368	0x6F63      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content+2, 1
0x036A	0x0E40      	MOVLW       64
0x036C	0x6F64      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content+3, 1
0x036E	0x0EFF      	MOVLW       255
0x0370	0x6F65      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_crc, 1
0x0372	0xDF4C      	RCALL       __Lib_Mmc_Mmc_Send_Command
0x0374	0xF45EC000  	MOVFF       R0, __Lib_Mmc_Mmc_UnIdle_response_L0
;__Lib_Mmc.c,125 :: 		
0x0378	0xDF3C      	RCALL       __Lib_Mmc_Mmc_DeSelect
;__Lib_Mmc.c,126 :: 		
0x037A	0x0104      	MOVLB       4
0x037C	0x515E      	MOVF        __Lib_Mmc_Mmc_UnIdle_response_L0, 0, 1
0x037E	0x0A00      	XORLW       0
0x0380	0xE153      	BNZ         L___Lib_Mmc_Mmc_UnIdle12
;__Lib_Mmc.c,127 :: 		
0x0382	0x0E00      	MOVLW       0
0x0384	0x0A00      	XORLW       0
0x0386	0xE102      	BNZ         L___Lib_Mmc_Mmc_UnIdle84
0x0388	0x0E02      	MOVLW       2
0x038A	0x195B      	XORWF       FARG___Lib_Mmc_Mmc_UnIdle_ctype, 0, 1
L___Lib_Mmc_Mmc_UnIdle84:
0x038C	0xE149      	BNZ         L___Lib_Mmc_Mmc_UnIdle13
;__Lib_Mmc.c,128 :: 		
0x038E	0xDEF0      	RCALL       __Lib_Mmc_Mmc_Select
;__Lib_Mmc.c,129 :: 		
0x0390	0x0E3A      	MOVLW       58
0x0392	0x6F60      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 1
0x0394	0x6B61      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content, 1
0x0396	0x6B62      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+1, 1
0x0398	0x6B63      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+2, 1
0x039A	0x6B64      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+3, 1
0x039C	0x0EFF      	MOVLW       255
0x039E	0x6F65      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_crc, 1
0x03A0	0xDF35      	RCALL       __Lib_Mmc_Mmc_Send_Command
0x03A2	0xF45EC000  	MOVFF       R0, __Lib_Mmc_Mmc_UnIdle_response_L0
;__Lib_Mmc.c,130 :: 		
0x03A6	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x03AA	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x03AE	0x0EFF      	MOVLW       255
0x03B0	0x6EE6      	MOVWF       POSTINC1 
0x03B2	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x03B6	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x03BA	0xDECE      	RCALL       _____DoIFC
0x03BC	0xF45FC000  	MOVFF       R0, __Lib_Mmc_Mmc_UnIdle_response2_L0
;__Lib_Mmc.c,131 :: 		
0x03C0	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x03C4	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x03C8	0x0EFF      	MOVLW       255
0x03CA	0x6EE6      	MOVWF       POSTINC1 
0x03CC	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x03D0	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x03D4	0xDEC1      	RCALL       _____DoIFC
;__Lib_Mmc.c,132 :: 		
0x03D6	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x03DA	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x03DE	0x0EFF      	MOVLW       255
0x03E0	0x6EE6      	MOVWF       POSTINC1 
0x03E2	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x03E6	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x03EA	0xDEB6      	RCALL       _____DoIFC
;__Lib_Mmc.c,133 :: 		
0x03EC	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x03F0	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x03F4	0x0EFF      	MOVLW       255
0x03F6	0x6EE6      	MOVWF       POSTINC1 
0x03F8	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x03FC	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0400	0xDEAB      	RCALL       _____DoIFC
;__Lib_Mmc.c,134 :: 		
0x0402	0xDEF7      	RCALL       __Lib_Mmc_Mmc_DeSelect
;__Lib_Mmc.c,135 :: 		
0x0404	0x0104      	MOVLB       4
0x0406	0x515E      	MOVF        __Lib_Mmc_Mmc_UnIdle_response_L0, 0, 1
0x0408	0x0A00      	XORLW       0
0x040A	0xE109      	BNZ         L___Lib_Mmc_Mmc_UnIdle14
;__Lib_Mmc.c,136 :: 		
0x040C	0xAD5F      	BTFSS       __Lib_Mmc_Mmc_UnIdle_response2_L0, 6, 1
0x040E	0xD003      	BRA         L___Lib_Mmc_Mmc_UnIdle15
;__Lib_Mmc.c,138 :: 		
0x0410	0x0E04      	MOVLW       4
0x0412	0x6E1C      	MOVWF       __Lib_Mmc_cardType 
0x0414	0xD002      	BRA         L___Lib_Mmc_Mmc_UnIdle16
L___Lib_Mmc_Mmc_UnIdle15:
;__Lib_Mmc.c,141 :: 		
0x0416	0x0E03      	MOVLW       3
0x0418	0x6E1C      	MOVWF       __Lib_Mmc_cardType 
L___Lib_Mmc_Mmc_UnIdle16:
;__Lib_Mmc.c,142 :: 		
0x041A	0x6A00      	CLRF        R0 
0x041C	0xD00C      	BRA         L_end_Mmc_UnIdle
;__Lib_Mmc.c,143 :: 		
L___Lib_Mmc_Mmc_UnIdle14:
;__Lib_Mmc.c,144 :: 		
0x041E	0xD004      	BRA         L___Lib_Mmc_Mmc_UnIdle17
L___Lib_Mmc_Mmc_UnIdle13:
;__Lib_Mmc.c,146 :: 		
0x0420	0x0E01      	MOVLW       1
0x0422	0x6E1C      	MOVWF       __Lib_Mmc_cardType 
;__Lib_Mmc.c,147 :: 		
0x0424	0x6A00      	CLRF        R0 
0x0426	0xD007      	BRA         L_end_Mmc_UnIdle
;__Lib_Mmc.c,148 :: 		
L___Lib_Mmc_Mmc_UnIdle17:
;__Lib_Mmc.c,149 :: 		
L___Lib_Mmc_Mmc_UnIdle12:
;__Lib_Mmc.c,150 :: 		
0x0428	0xD001      	BRA         L___Lib_Mmc_Mmc_UnIdle18
L___Lib_Mmc_Mmc_UnIdle11:
;__Lib_Mmc.c,153 :: 		
0x042A	0xD003      	BRA         L___Lib_Mmc_Mmc_UnIdle6
;__Lib_Mmc.c,154 :: 		
L___Lib_Mmc_Mmc_UnIdle18:
;__Lib_Mmc.c,155 :: 		
L___Lib_Mmc_Mmc_UnIdle10:
;__Lib_Mmc.c,102 :: 		
0x042C	0x4B5C      	INFSNZ      __Lib_Mmc_Mmc_UnIdle_cnt_L0, 1, 1
0x042E	0x2B5D      	INCF        __Lib_Mmc_Mmc_UnIdle_cnt_L0+1, 1, 1
;__Lib_Mmc.c,156 :: 		
0x0430	0xD75F      	BRA         L___Lib_Mmc_Mmc_UnIdle5
L___Lib_Mmc_Mmc_UnIdle6:
;__Lib_Mmc.c,157 :: 		
0x0432	0x0E01      	MOVLW       1
0x0434	0x6E00      	MOVWF       R0 
;__Lib_Mmc.c,158 :: 		
L_end_Mmc_UnIdle:
0x0436	0x0012      	RETURN      0
; end of __Lib_Mmc_Mmc_UnIdle
_Lcd_Out:
;__Lib_Lcd.c,184 :: 		
;__Lib_Lcd.c,187 :: 		
0x0438	0xD010      	BRA         L_Lcd_Out11
;__Lib_Lcd.c,188 :: 		
L_Lcd_Out13:
0x043A	0x0E80      	MOVLW       128
0x043C	0x0104      	MOVLB       4
0x043E	0x6F4D      	MOVWF       FARG_Lcd_Out_row, 1
0x0440	0xD01A      	BRA         L_Lcd_Out12
;__Lib_Lcd.c,189 :: 		
L_Lcd_Out14:
0x0442	0x0EC0      	MOVLW       192
0x0444	0x6F4D      	MOVWF       FARG_Lcd_Out_row, 1
0x0446	0xD017      	BRA         L_Lcd_Out12
;__Lib_Lcd.c,190 :: 		
L_Lcd_Out15:
0x0448	0x0E94      	MOVLW       148
0x044A	0x6F4D      	MOVWF       FARG_Lcd_Out_row, 1
0x044C	0xD014      	BRA         L_Lcd_Out12
;__Lib_Lcd.c,191 :: 		
L_Lcd_Out16:
0x044E	0x0ED4      	MOVLW       212
0x0450	0x6F4D      	MOVWF       FARG_Lcd_Out_row, 1
0x0452	0xD011      	BRA         L_Lcd_Out12
;__Lib_Lcd.c,192 :: 		
L_Lcd_Out17:
0x0454	0x0E80      	MOVLW       128
0x0456	0x6F4D      	MOVWF       FARG_Lcd_Out_row, 1
;__Lib_Lcd.c,193 :: 		
0x0458	0xD00E      	BRA         L_Lcd_Out12
L_Lcd_Out11:
0x045A	0x0104      	MOVLB       4
0x045C	0x514D      	MOVF        FARG_Lcd_Out_row, 0, 1
0x045E	0x0A01      	XORLW       1
0x0460	0xE0EC      	BZ          L_Lcd_Out13
0x0462	0x514D      	MOVF        FARG_Lcd_Out_row, 0, 1
0x0464	0x0A02      	XORLW       2
0x0466	0xE0ED      	BZ          L_Lcd_Out14
0x0468	0x514D      	MOVF        FARG_Lcd_Out_row, 0, 1
0x046A	0x0A03      	XORLW       3
0x046C	0xE0ED      	BZ          L_Lcd_Out15
0x046E	0x514D      	MOVF        FARG_Lcd_Out_row, 0, 1
0x0470	0x0A04      	XORLW       4
0x0472	0xE0ED      	BZ          L_Lcd_Out16
0x0474	0xD7EF      	BRA         L_Lcd_Out17
L_Lcd_Out12:
;__Lib_Lcd.c,194 :: 		
0x0476	0x054E      	DECF        FARG_Lcd_Out_column, 0, 1
0x0478	0x6E00      	MOVWF       R0 
0x047A	0x514D      	MOVF        FARG_Lcd_Out_row, 0, 1
0x047C	0x2600      	ADDWF       R0, 1 
0x047E	0xF44DC000  	MOVFF       R0, FARG_Lcd_Out_row
;__Lib_Lcd.c,196 :: 		
0x0482	0xF460C000  	MOVFF       R0, FARG_Lcd_Cmd_out_char
0x0486	0xDE76      	RCALL       _Lcd_Cmd
;__Lib_Lcd.c,197 :: 		
0x0488	0x9041      	BCF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,198 :: 		
0x048A	0x6B51      	CLRF        Lcd_Out_i_L0, 1
;__Lib_Lcd.c,199 :: 		
L_Lcd_Out18:
0x048C	0x5151      	MOVF        Lcd_Out_i_L0, 0, 1
0x048E	0x254F      	ADDWF       FARG_Lcd_Out_text, 0, 1
0x0490	0x6EE9      	MOVWF       FSR0L 
0x0492	0x0E00      	MOVLW       0
0x0494	0x2150      	ADDWFC      FARG_Lcd_Out_text+1, 0, 1
0x0496	0x6EEA      	MOVWF       FSR0H 
0x0498	0x52EE      	MOVF        POSTINC0, 1 
0x049A	0xE00B      	BZ          L_Lcd_Out19
;__Lib_Lcd.c,200 :: 		
0x049C	0x5151      	MOVF        Lcd_Out_i_L0, 0, 1
0x049E	0x254F      	ADDWF       FARG_Lcd_Out_text, 0, 1
0x04A0	0x6EE9      	MOVWF       FSR0L 
0x04A2	0x0E00      	MOVLW       0
0x04A4	0x2150      	ADDWFC      FARG_Lcd_Out_text+1, 0, 1
0x04A6	0x6EEA      	MOVWF       FSR0H 
0x04A8	0xF45BCFEE  	MOVFF       POSTINC0, FARG_Lcd_Chr_CP_out_char
0x04AC	0xDF18      	RCALL       _Lcd_Chr_CP
0x04AE	0x2B51      	INCF        Lcd_Out_i_L0, 1, 1
0x04B0	0xD7ED      	BRA         L_Lcd_Out18
L_Lcd_Out19:
;__Lib_Lcd.c,201 :: 		
0x04B2	0x8041      	BSF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,202 :: 		
L_end_Lcd_Out:
0x04B4	0x0012      	RETURN      0
; end of _Lcd_Out
_codeToRam:
;soundrec.c,135 :: 		char* codeToRam(const char* ctxt)
;soundrec.c,139 :: 		for(i =0; txt[i] = ctxt[i]; i++);
0x04B6	0x6A03      	CLRF        R3 
L_codeToRam0:
0x04B8	0x0E2C      	MOVLW       codeToRam_txt_L0
0x04BA	0x6E01      	MOVWF       R1 
0x04BC	0x0E00      	MOVLW       hi_addr(codeToRam_txt_L0)
0x04BE	0x6E02      	MOVWF       R2 
0x04C0	0x5003      	MOVF        R3, 0 
0x04C2	0x2601      	ADDWF       R1, 1 
0x04C4	0xB0D8      	BTFSC       STATUS, 0 
0x04C6	0x2A02      	INCF        R2, 1 
0x04C8	0x5003      	MOVF        R3, 0 
0x04CA	0x0104      	MOVLB       4
0x04CC	0x254D      	ADDWF       FARG_codeToRam_ctxt, 0, 1
0x04CE	0x6EF6      	MOVWF       4086 
0x04D0	0x0E00      	MOVLW       0
0x04D2	0x214E      	ADDWFC      FARG_codeToRam_ctxt+1, 0, 1
0x04D4	0x6EF7      	MOVWF       TBLPTRH 
0x04D6	0x0E00      	MOVLW       0
0x04D8	0x214F      	ADDWFC      FARG_codeToRam_ctxt+2, 0, 1
0x04DA	0x6EF8      	MOVWF       TBLPTRU 
0x04DC	0x0009      	TBLRD*+
0x04DE	0xF000CFF5  	MOVFF       TABLAT, R0
0x04E2	0xFFE1C001  	MOVFF       R1, FSR1L
0x04E6	0xFFE2C002  	MOVFF       R2, FSR1H
0x04EA	0xFFE6C000  	MOVFF       R0, POSTINC1
0x04EE	0xFFE9C001  	MOVFF       R1, FSR0L
0x04F2	0xFFEAC002  	MOVFF       R2, FSR0H
0x04F6	0x52EE      	MOVF        POSTINC0, 1 
0x04F8	0xE002      	BZ          L_codeToRam1
0x04FA	0x2A03      	INCF        R3, 1 
0x04FC	0xD7DD      	BRA         L_codeToRam0
L_codeToRam1:
;soundrec.c,141 :: 		return txt;
0x04FE	0x0E2C      	MOVLW       codeToRam_txt_L0
0x0500	0x6E00      	MOVWF       R0 
0x0502	0x0E00      	MOVLW       hi_addr(codeToRam_txt_L0)
0x0504	0x6E01      	MOVWF       R1 
;soundrec.c,142 :: 		}
L_end_codeToRam:
0x0506	0x0012      	RETURN      0
; end of _codeToRam
___CC2DW:
;__Lib_System.c,21 :: 		
;__Lib_System.c,23 :: 		
_CC2DL_Loop1:
;__Lib_System.c,24 :: 		
0x0508	0x0009      	TBLRD*+
;__Lib_System.c,25 :: 		
0x050A	0xFFE6CFF5  	MOVFF       TABLAT, POSTINC1
;__Lib_System.c,26 :: 		
0x050E	0x0600      	DECF        R0, 1, 0
;__Lib_System.c,27 :: 		
0x0510	0xE1FB      	BNZ         _CC2DL_Loop1
;__Lib_System.c,28 :: 		
0x0512	0x0601      	DECF        R1, 1, 0
;__Lib_System.c,29 :: 		
0x0514	0xE1F9      	BNZ         _CC2DL_Loop1
;__Lib_System.c,31 :: 		
L_end___CC2DW:
0x0516	0x0012      	RETURN      0
; end of ___CC2DW
_adcInit:
;adc.c,25 :: 		void adcInit(void)
;adc.c,27 :: 		ADCON1 = 0x0e;
0x0518	0x0E0E      	MOVLW       14
0x051A	0x6EC1      	MOVWF       ADCON1 
;adc.c,28 :: 		ADCON2 = 0x2d;
0x051C	0x0E2D      	MOVLW       45
0x051E	0x6EC0      	MOVWF       ADCON2 
;adc.c,29 :: 		ADCON0 |= (1 << ADON);
0x0520	0x80C2      	BSF         ADCON0, 0 
;adc.c,30 :: 		}
L_end_adcInit:
0x0522	0x0012      	RETURN      0
; end of _adcInit
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x0524	0x9C93      	BCF         LCD_EN_Direction, BitPos(LCD_EN_Direction+0) 
;__Lib_Lcd.c,87 :: 		
0x0526	0x9E93      	BCF         LCD_RS_Direction, BitPos(LCD_RS_Direction+0) 
;__Lib_Lcd.c,88 :: 		
0x0528	0x9A93      	BCF         LCD_D4_Direction, BitPos(LCD_D4_Direction+0) 
;__Lib_Lcd.c,89 :: 		
0x052A	0x9893      	BCF         LCD_D5_Direction, BitPos(LCD_D5_Direction+0) 
;__Lib_Lcd.c,90 :: 		
0x052C	0x9693      	BCF         LCD_D6_Direction, BitPos(LCD_D6_Direction+0) 
;__Lib_Lcd.c,91 :: 		
0x052E	0x9493      	BCF         LCD_D7_Direction, BitPos(LCD_D7_Direction+0) 
;__Lib_Lcd.c,93 :: 		
0x0530	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,94 :: 		
0x0532	0x9E81      	BCF         LCD_RS, BitPos(LCD_RS+0) 
;__Lib_Lcd.c,95 :: 		
0x0534	0x9481      	BCF         LCD_D7, BitPos(LCD_D7+0) 
;__Lib_Lcd.c,96 :: 		
0x0536	0x9681      	BCF         LCD_D6, BitPos(LCD_D6+0) 
;__Lib_Lcd.c,97 :: 		
0x0538	0x9881      	BCF         LCD_D5, BitPos(LCD_D5+0) 
;__Lib_Lcd.c,98 :: 		
0x053A	0x9A81      	BCF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,100 :: 		
0x053C	0xDE02      	RCALL       _Delay_5500us
;__Lib_Lcd.c,101 :: 		
0x053E	0xDE01      	RCALL       _Delay_5500us
;__Lib_Lcd.c,102 :: 		
0x0540	0xDE00      	RCALL       _Delay_5500us
;__Lib_Lcd.c,105 :: 		
0x0542	0x8881      	BSF         LCD_D5, BitPos(LCD_D5+0) 
;__Lib_Lcd.c,106 :: 		
0x0544	0x8A81      	BSF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,107 :: 		
0x0546	0x8C81      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,108 :: 		
0x0548	0xDDF6      	RCALL       _Delay_1us
;__Lib_Lcd.c,109 :: 		
0x054A	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,110 :: 		
0x054C	0xDDFA      	RCALL       _Delay_5500us
;__Lib_Lcd.c,112 :: 		
0x054E	0x8C81      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,113 :: 		
0x0550	0xDDF2      	RCALL       _Delay_1us
;__Lib_Lcd.c,114 :: 		
0x0552	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,115 :: 		
0x0554	0xDDF6      	RCALL       _Delay_5500us
;__Lib_Lcd.c,117 :: 		
0x0556	0x8C81      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,118 :: 		
0x0558	0xDDEE      	RCALL       _Delay_1us
;__Lib_Lcd.c,119 :: 		
0x055A	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,120 :: 		
0x055C	0xDDF2      	RCALL       _Delay_5500us
;__Lib_Lcd.c,123 :: 		
0x055E	0x9A81      	BCF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,124 :: 		
0x0560	0x8C81      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,125 :: 		
0x0562	0xDDE9      	RCALL       _Delay_1us
;__Lib_Lcd.c,126 :: 		
0x0564	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,127 :: 		
0x0566	0xDDED      	RCALL       _Delay_5500us
;__Lib_Lcd.c,130 :: 		
0x0568	0x8C81      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,131 :: 		
0x056A	0xDDE5      	RCALL       _Delay_1us
;__Lib_Lcd.c,132 :: 		
0x056C	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,134 :: 		
0x056E	0x9881      	BCF         LCD_D5, BitPos(LCD_D5+0) 
;__Lib_Lcd.c,135 :: 		
0x0570	0x8481      	BSF         LCD_D7, BitPos(LCD_D7+0) 
;__Lib_Lcd.c,136 :: 		
0x0572	0x8C81      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,137 :: 		
0x0574	0xDDE0      	RCALL       _Delay_1us
;__Lib_Lcd.c,138 :: 		
0x0576	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,139 :: 		
0x0578	0xDDE4      	RCALL       _Delay_5500us
;__Lib_Lcd.c,142 :: 		
0x057A	0x9481      	BCF         LCD_D7, BitPos(LCD_D7+0) 
;__Lib_Lcd.c,143 :: 		
0x057C	0x8A81      	BSF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,144 :: 		
0x057E	0x8C81      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,145 :: 		
0x0580	0xDDDA      	RCALL       _Delay_1us
;__Lib_Lcd.c,146 :: 		
0x0582	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,148 :: 		
0x0584	0x9A81      	BCF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,149 :: 		
0x0586	0x8C81      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,150 :: 		
0x0588	0xDDD6      	RCALL       _Delay_1us
;__Lib_Lcd.c,151 :: 		
0x058A	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,152 :: 		
0x058C	0xDDDA      	RCALL       _Delay_5500us
;__Lib_Lcd.c,155 :: 		
0x058E	0x8C81      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,156 :: 		
0x0590	0xDDD2      	RCALL       _Delay_1us
;__Lib_Lcd.c,157 :: 		
0x0592	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,159 :: 		
0x0594	0x8A81      	BSF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,160 :: 		
0x0596	0x8C81      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,161 :: 		
0x0598	0xDDCE      	RCALL       _Delay_1us
;__Lib_Lcd.c,162 :: 		
0x059A	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,163 :: 		
0x059C	0xDDD2      	RCALL       _Delay_5500us
;__Lib_Lcd.c,166 :: 		
0x059E	0x9A81      	BCF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,167 :: 		
0x05A0	0x8C81      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,168 :: 		
0x05A2	0xDDC9      	RCALL       _Delay_1us
;__Lib_Lcd.c,169 :: 		
0x05A4	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,171 :: 		
0x05A6	0x8481      	BSF         LCD_D7, BitPos(LCD_D7+0) 
;__Lib_Lcd.c,172 :: 		
0x05A8	0x8681      	BSF         LCD_D6, BitPos(LCD_D6+0) 
;__Lib_Lcd.c,173 :: 		
0x05AA	0x8881      	BSF         LCD_D5, BitPos(LCD_D5+0) 
;__Lib_Lcd.c,174 :: 		
0x05AC	0x8A81      	BSF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,175 :: 		
0x05AE	0x8C81      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,176 :: 		
0x05B0	0xDDC2      	RCALL       _Delay_1us
;__Lib_Lcd.c,177 :: 		
0x05B2	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,179 :: 		
0x05B4	0xDDC6      	RCALL       _Delay_5500us
